,cost,address,unitType,bedrooms,bathrooms,hydro,heat,water,wifi_info,parking,agreement,pet,size,furnished,appliances,ac,outdoor,smoking,amenities,url,has_den
92,1285,"3928 Green Falls Drive, Regina, SK, S4V 3M1",Apartment,2,1.0,0,1,1,Not Included,0,Month-to-month,1,840,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Pool', 'Elevator in Building']",/v-apartments-condos/regina/sterling-manor-2-bedroom-1-bathroom-apartment-for-rent/1549748796,0
93,1295,"5501 Prefontaine Ave, Regina, SK, S4W 0S3",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,840,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,"['Gym', 'Elevator in Building']",/v-apartments-condos/regina/harbour-view-estates-2-bedroom-1-bathroom-apartment-for-rent/1551597919,0
94,1300,"331  Broad Street North, Regina, SK, S4R 2X8",Apartment,2,2.0,0,1,1,Not Included,0,1 Year,1,832,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/newly-renovated-2-bedroom-apartment-for-rent/1564023315,0
95,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",Apartment,1,1.0,0,0,1,Not Included,1,1 Year,1,350,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/lovely-single-family-suites-rental/1570813573,0
96,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",Apartment,1,1.0,0,0,1,Not Included,1,1 Year,1,350,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/sweet-home-for-single-family-for-rental/1570812048,0
97,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",Apartment,1,1.0,0,0,1,Not Included,1,1 Year,1,350,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/1-bed-1-bath-nice-suites-ready-for-rental/1570811470,0
98,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",Apartment,1,1.0,0,0,1,Not Included,1,1 Year,1,350,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/amazing-suites-for-single-family-for-rental/1570808949,0
99,700,"119 Broadway St W, Yorkton, SK S3N 0M3, Canada",Apartment,1,1.0,0,0,1,Not Included,1,1 Year,1,350,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,['Yard'],0,['Not Included'],/v-apartments-condos/regina/single-family-1-bed-1-bath-ready-for-rental/1570808196,0
102,920,"26 Lorne Place, Regina, SK, S4R 8B3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,607,0,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",1,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/upgraded-1-bedroom-apartment-pet-friendly/1567505973,0
103,1045,"6725 Rochdale Blvd, Regina, SK, S4X 2Z2",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,583,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Not Included'],0,['Gym'],/v-apartments-condos/regina/one-bedroom-apartment-save-300per-month/1569064691,0
104,1200,", S0G 3Z0, Pilot Butte, SK",House,2,1.0,0,0,0,Not Included,2,1 Year,0,786,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/basement-suite-for-rent/1570771728,0
106,950,"4462 Albulet Drive, S4W0L5, Regina, SK",Basement,1,1.0,1,1,1,Internet,1,1 Year,0,700,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/1-bedroom-legal-basement-harbour-landing-july-1-st-2021/1570788550,0
107,800,"S4T3M6, Canada",Duplex/Triplex,2,1.0,0,0,0,Not Included,1,1 Year,0,800,0,"['Laundry (In Unit)', 'Fridge / Freezer']",0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/downtown-2bedroom-house/1570787132,0
108,920,", Regina S4P 2M4 SK",Condo,1,1.0,0,1,1,Not Included,0,1 Year,0,555,0,"['Laundry (In Unit)', 'Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",0,['Balcony'],0,['Not Included'],/v-apartments-condos/regina/1-bedroom-condo-in-regina-downtown-available-now/1570775939,0
109,975,"125 Froom Crescent, Regina, SK S4N 1S8, Canada",Apartment,2,1.0,0,1,1,Not Included,1,Month-to-month,1,800,0,"['Laundry (In Building)', 'Fridge / Freezer']",1,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/125-froom-2-bedroom-top-floor-heat-water-parking-inc/1570775238,0
110,800,"204 Keeler St, Pangman, SK S0C 2C0, Canada",House,2,2.0,0,0,0,Not Included,2,Month-to-month,0,700,0,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",1,['Yard'],0,['Not Included'],/v-apartments-condos/regina/2-bed-2-bath-house-in-pangman-sk-800/1570771775,0
111,849,"4050 Rae Street, Regina, SK, S4S 3A3",Apartment,1,1.0,0,1,1,Not Included,0,1 Year,1,675,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/parliament-place-apartment-for-rent-4050-rae-street/1505779695,0
112,884,"801 Grey Street, Regina, SK, S4T 5G8",Apartment,2,1.0,0,1,1,Not Included,0,1 Year,1,720,0,['Fridge / Freezer'],0,['Not Included'],0,['Not Included'],/v-apartments-condos/regina/west-apartment-for-rent-801-grey-street/1505749898,0
